Student_ID,Cumulative_GPA,Household_Income,Mental_Health_Index,Dropout_Status
STU_0442,2.68,Low,4.3,0
STU_0443,1.67,Low,1.8,1
STU_0444,2.66,Low,7.5,1
STU_0445,2.05,Medium,4.1,0
STU_0446,3.03,Medium,7.1,0
STU_0447,2.88,Medium,1.6,0
STU_0448,2.23,Low,7.3,1
STU_0449,2.44,Low,3.1,0
STU_0450,2.17,Low,7.0,0
STU_0451,2.67,Low,5.5,1
STU_0452,3.18,Low,3.6,0
STU_0453,2.21,Medium,4.7,0
STU_0454,2.95,Low,6.9,0
STU_0455,2.43,Medium,5.7,1
STU_0456,2.3,Low,6.7,1
STU_0457,2.65,Low,9.5,0
STU_0458,2.18,Low,2.4,1
STU_0459,2.42,High,8.7,0
STU_0460,2.1,Medium,5.7,1
STU_0461,3.68,High,3.7,0
STU_0462,2.72,Low,2.8,1
STU_0463,2.35,Low,5.1,0
STU_0464,2.81,Medium,7.3,1
STU_0465,2.64,Low,5.2,0
STU_0466,2.59,Medium,8.5,0
STU_0467,3.01,Low,2.6,0
STU_0468,3.08,Low,5.5,1
STU_0469,2.43,Low,3.0,1
STU_0470,2.41,Low,6.2,1
STU_0471,2.56,Medium,7.3,0
STU_0472,1.55,Low,4.7,1
STU_0473,1.94,Low,1.0,1
STU_0474,3.38,Low,5.9,1
STU_0475,3.52,Low,6.4,1
STU_0476,2.58,Medium,6.3,0
STU_0477,2.99,Medium,8.0,0
STU_0478,2.86,High,3.4,0
STU_0479,4.0,Medium,6.9,0
STU_0480,3.26,Low,7.9,1
STU_0481,2.64,Medium,1.9,0
STU_0482,2.22,Low,6.1,0
STU_0483,1.9,Low,4.5,1
STU_0484,2.8,Medium,5.3,0
STU_0485,2.32,Low,6.2,0
STU_0486,1.99,High,4.5,1
STU_0487,2.38,Low,4.1,0
STU_0488,2.16,Medium,5.6,0
STU_0489,3.54,Medium,3.3,0
STU_0490,3.14,Medium,3.3,0
STU_0491,2.7,Medium,6.9,0
STU_0492,3.44,Medium,3.2,0
STU_0493,2.74,Low,6.8,0
STU_0494,2.27,Medium,6.4,0
STU_0495,3.46,Low,2.0,0
STU_0496,2.97,Medium,4.1,0
STU_0497,2.18,Medium,7.9,1
STU_0498,2.6,Medium,3.5,0
STU_0499,2.26,Low,4.6,1
STU_0500,2.01,Low,6.4,0
STU_0501,3.16,Medium,7.1,0
STU_0502,3.65,Low,5.0,0
STU_0503,2.0,Low,4.3,1
STU_0504,2.98,Low,8.3,1
STU_0505,2.37,High,9.0,0
STU_0506,2.46,Medium,7.5,1
STU_0507,2.4,Low,5.7,0
STU_0508,2.27,Low,3.9,0
STU_0509,2.72,Low,3.8,0
STU_0510,2.28,Medium,6.5,0
STU_0511,2.84,Medium,6.3,0
STU_0512,2.67,Low,8.3,1
STU_0513,2.58,Low,6.8,0
STU_0514,2.25,Low,2.5,1
STU_0515,2.41,Medium,7.6,0
STU_0516,3.08,Medium,3.5,0
STU_0517,2.95,Low,4.7,0
STU_0518,2.21,Low,6.0,0
STU_0519,2.75,Low,9.5,0
STU_0520,3.08,High,10.0,1
STU_0521,1.87,Low,6.7,0
STU_0522,2.97,Medium,5.1,1
STU_0523,2.37,Medium,6.6,0
STU_0524,2.99,Low,7.3,0
STU_0525,2.32,Low,4.9,1
STU_0526,1.8,Low,9.1,1
STU_0527,1.89,Medium,6.0,0
STU_0528,2.72,Medium,6.5,0
STU_0529,2.83,Medium,6.8,0
STU_0530,2.25,Medium,6.3,0
STU_0531,3.02,Low,7.2,1
STU_0532,1.87,High,4.3,0
STU_0533,2.67,Medium,4.4,0
STU_0534,2.09,Low,3.3,0
STU_0535,2.37,High,6.4,0
STU_0536,2.72,Medium,7.1,0
STU_0537,2.27,Medium,6.4,0
STU_0538,2.51,Medium,8.8,0
STU_0539,3.2,Medium,5.5,0
STU_0540,2.41,Medium,6.8,0
STU_0541,3.12,Low,3.3,0
STU_0542,2.14,Low,4.7,1
STU_0543,2.96,High,6.9,0
STU_0544,3.42,Low,7.2,1
STU_0545,1.46,Low,4.9,1
STU_0546,2.3,Low,5.4,1
STU_0547,2.99,Low,2.5,0
STU_0548,2.6,Medium,4.8,0
STU_0549,2.89,High,7.3,1
STU_0550,2.4,Low,6.7,1
STU_0551,2.74,Low,6.5,1
STU_0552,2.62,Low,5.6,0
STU_0553,3.28,Medium,5.5,0
STU_0554,2.83,Medium,4.2,1
STU_0555,2.87,Low,6.9,0
STU_0556,2.49,Medium,6.3,0
STU_0557,2.46,Medium,6.5,0
STU_0558,2.48,Medium,4.4,0
STU_0559,2.9,High,1.2,0
STU_0560,2.49,Low,7.7,1
STU_0561,2.84,Medium,4.5,1
STU_0562,3.74,Low,3.8,1
STU_0563,3.14,Medium,6.9,0
STU_0564,2.54,Medium,4.7,1
STU_0565,3.3,Medium,7.6,0
STU_0566,2.5,Medium,6.7,0
STU_0567,1.68,Low,6.9,1
STU_0568,2.2,Medium,2.8,1
STU_0569,1.76,High,7.9,1
STU_0570,2.52,High,6.0,0
STU_0571,2.71,Low,4.8,0
STU_0572,3.54,Low,5.8,1
STU_0573,2.86,Low,1.9,0
STU_0574,2.59,Medium,6.3,0
STU_0575,3.11,Medium,3.4,0
STU_0576,1.59,Low,2.8,1
STU_0577,2.82,Medium,2.5,1
STU_0578,3.09,Medium,7.7,1
STU_0579,1.96,Medium,4.2,0
STU_0580,3.27,Medium,8.6,0
STU_0581,2.87,Medium,4.4,0
STU_0582,2.49,Medium,2.1,0
STU_0583,3.02,Low,3.3,1
STU_0584,3.84,Medium,8.0,0
STU_0585,2.79,Medium,5.2,0
STU_0586,2.82,Medium,4.4,0
STU_0587,2.47,Medium,5.8,0
STU_0588,2.28,Medium,6.5,0
STU_0589,3.12,Low,7.7,0
STU_0590,2.27,Low,8.4,0
STU_0591,2.74,Low,4.8,0
STU_0592,2.46,Low,2.8,0
STU_0593,2.94,Medium,4.7,0
STU_0594,2.87,High,6.0,1
STU_0595,3.22,Low,3.6,1
STU_0596,2.44,Low,3.6,1
STU_0597,2.57,Medium,6.2,0
STU_0598,2.21,Low,5.4,0
STU_0599,2.48,Medium,5.6,0
STU_0600,2.89,Medium,4.0,1
STU_0601,3.08,Medium,5.0,0
STU_0602,2.24,Low,3.7,1
STU_0603,3.13,Low,7.3,0
STU_0604,3.38,Medium,7.6,0
STU_0605,2.91,Medium,1.8,0
STU_0606,3.64,Low,3.6,1
STU_0607,2.31,Medium,2.5,1
STU_0608,2.08,Low,4.2,0
STU_0609,1.81,Medium,5.3,0
STU_0610,3.45,Low,2.6,0
STU_0611,3.03,High,3.7,0
STU_0612,2.67,Low,3.5,0
STU_0613,2.84,Low,5.9,0
STU_0614,2.14,Low,5.6,1
STU_0615,3.92,Low,4.1,1
STU_0616,2.76,Medium,5.9,1
STU_0617,2.75,High,4.4,0
STU_0618,3.06,Low,5.0,1
STU_0619,2.94,Low,8.8,1
STU_0620,2.81,Medium,8.2,1
STU_0621,2.3,Medium,2.9,0
STU_0622,2.94,Medium,7.2,0
STU_0623,3.64,Low,7.1,0
STU_0624,3.37,Low,3.2,0
STU_0625,3.5,Medium,7.1,0
STU_0626,2.44,Low,8.6,1
STU_0627,2.21,Medium,3.3,0
STU_0628,2.64,Low,3.7,1
STU_0629,2.73,Medium,7.5,0
STU_0630,3.25,Low,6.0,1
STU_0631,1.85,Medium,6.6,1
STU_0632,3.46,Low,6.2,1
STU_0633,2.62,Medium,6.3,0
STU_0634,2.49,Low,2.8,1
STU_0635,2.19,Medium,7.6,1
STU_0636,1.87,Medium,7.8,0
STU_0637,3.11,Medium,5.0,0
STU_0638,2.74,Medium,5.4,0
STU_0639,2.06,Medium,2.4,0
STU_0640,2.05,Medium,6.5,0
STU_0641,2.53,Low,6.6,0
STU_0642,3.53,Medium,5.4,0
STU_0643,2.57,Low,7.7,1
STU_0644,1.95,Low,4.8,1
STU_0645,2.58,Low,6.6,0
STU_0646,2.56,Low,3.5,0
STU_0647,1.35,Medium,5.5,0
STU_0648,2.67,Medium,5.2,0
STU_0649,2.58,Medium,6.0,0
STU_0650,3.05,Medium,4.8,0
STU_0651,3.62,Low,5.2,1
STU_0652,3.26,Low,7.2,1
STU_0653,2.57,Low,4.6,0
STU_0654,2.15,Low,2.3,1
STU_0655,3.99,Low,9.0,0
STU_0656,2.73,Low,8.3,0
STU_0657,2.71,Medium,2.9,0
STU_0658,2.69,Medium,6.9,0
STU_0659,2.8,High,4.5,0
STU_0660,2.63,High,6.0,0
STU_0661,2.41,Medium,6.1,1
STU_0662,2.43,Low,5.0,1
STU_0663,2.68,Medium,3.9,0
STU_0664,2.43,Medium,4.1,0
STU_0665,2.34,Low,3.7,0
STU_0666,2.75,Low,3.8,1
STU_0667,2.57,Medium,5.4,0
STU_0668,3.45,Low,4.1,0
STU_0669,1.37,Medium,6.9,1
STU_0670,3.25,Medium,8.5,0
STU_0671,3.32,Low,4.3,0
STU_0672,1.66,Low,6.0,1
STU_0673,2.53,Low,6.5,1
STU_0674,2.51,Low,6.4,1
STU_0675,2.0,Low,5.7,1
STU_0676,2.31,Medium,7.0,0
STU_0677,2.14,Low,6.5,1
STU_0678,3.58,Medium,3.0,0
STU_0679,3.17,Low,7.2,0
STU_0680,3.34,High,7.3,0
STU_0681,3.06,Low,4.0,1
STU_0682,2.14,Low,5.6,1
STU_0683,2.44,Medium,6.9,0
STU_0684,2.94,Medium,5.1,0
STU_0685,2.09,Low,7.6,1
STU_0686,3.06,Medium,10.0,0
STU_0687,2.58,Low,3.9,0
STU_0688,2.51,Low,2.7,0
STU_0689,3.06,Low,6.1,0
STU_0690,2.92,Low,6.9,0
STU_0691,2.52,Medium,5.0,0
STU_0692,3.28,Low,8.4,0
STU_0693,2.16,Low,2.8,1
STU_0694,3.01,Medium,6.9,0
STU_0695,3.0,Medium,4.3,0
STU_0696,2.55,Low,8.9,1
STU_0697,2.86,Medium,9.5,0
STU_0698,2.07,Low,4.0,0
STU_0699,3.16,Medium,4.4,1
STU_0700,2.61,Medium,7.2,0
STU_0701,2.44,High,4.7,1
STU_0702,3.22,Low,5.4,0
STU_0703,2.35,Low,5.6,0
STU_0704,2.0,Low,1.7,1
STU_0705,1.92,Low,5.5,1
STU_0706,3.0,Low,4.1,1
STU_0707,2.06,High,4.5,0
STU_0708,3.58,Low,8.4,1
STU_0709,1.66,Low,3.0,1
STU_0710,3.55,Medium,7.1,0
STU_0711,2.81,Low,4.9,1
STU_0712,2.65,Medium,4.9,0
STU_0713,2.43,Low,7.1,1
STU_0714,2.9,Low,6.2,0
STU_0715,2.68,Low,6.6,1
STU_0716,3.25,Low,7.4,1
STU_0717,2.76,High,4.8,0
STU_0718,2.78,Low,4.3,0
STU_0719,2.52,Medium,3.3,0
STU_0720,2.67,Low,3.8,0
